recipe,calories,carbohydrate,sugar,protein,category,servings,high_traffic,calories_per_serving,protein_ratio,carb_ratio,sugar_ratio,high_calorie
222,288.55,21.48,4.55,10.8,Dessert,1,Unknown,288.55,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
223,48.11,5.13,0.29,0.51,Lunch & Snacks,4,High,12.0275,0.08600337268128162,0.8650927487352446,0.04890387858347386,0
224,62.85,29.98,4.41,40.65,Meat,4,Unknown,15.7125,0.5417110874200427,0.3995202558635395,0.05876865671641792,0
225,191.89,19.29,5.49,3.71,Vegetable,4,High,47.9725,0.13022113022113022,0.677079677079677,0.1926991926991927,0
226,133.8,5.48,0.44,57.76,Meat,6,High,22.3,0.907035175879397,0.08605527638190956,0.006909547738693468,0
227,2703.12,6.4,2.17,28.2,Meat,6,High,450.52,0.7669295621430514,0.1740549360892032,0.05901550176774545,0
228,124.79,158.92,1.76,23.07,Breakfast,1,High,124.79,0.1255510204081633,0.8648707482993198,0.009578231292517008,0
229,0.14,18.12,11.15,87.34,Lunch & Snacks,2,High,0.07,0.7489923677214646,0.1553897607409313,0.09561787153760397,0
230,393.73,39.26,1.33,17.38,Meat,1,Unknown,393.73,0.2998102466793169,0.6772468518199068,0.022942901500776266,0
231,418.22,32.08,19.78,0.29,Beverages,1,Unknown,418.22,0.0055608820709491845,0.6151486097794823,0.3792905081495686,0
232,247.79,32.82,4.57,10.06,Vegetable,2,High,123.895,0.21201264488935723,0.6916754478398314,0.09631190727081138,0
233,207.37,12.05,22.03,0.38,Beverages,4,Unknown,51.8425,0.011027278003482298,0.3496807893209518,0.6392919326755659,0
234,523.69,1.98,0.72,41.55,Meat,6,High,87.28166666666668,0.9389830508474576,0.04474576271186441,0.016271186440677966,0
235,627.16,34.96,41.5,16.15,Dessert,6,Unknown,104.52666666666666,0.1743872152035417,0.377497030558255,0.44811575423820316,0
236,357.15,39.67,2.24,38.63,Meat,4,Unknown,89.2875,0.47963744723118945,0.4925502855723864,0.02781226719642414,0
237,482.99,53.73,6.53,3.46,Dessert,6,High,80.49833333333333,0.054300062774639044,0.8432203389830508,0.10247959824231011,0
238,158.64,45.71,4.66,91.16,Meat,2,Unknown,79.32,0.6441037235921713,0.3229703949692645,0.032925881438564265,0
239,581.7,11.48,7.94,13.64,Meat,4,High,145.425,0.4125831820931639,0.34724742891712035,0.24016938898971565,0
240,593.56,243.2,0.6,2.56,Meat,2,Unknown,296.78,0.010391297288520864,0.9871732424094821,0.0024354603019970775,0
241,539.78,14.84,17.29,21.55,One Dish Meal,2,Unknown,269.89,0.4014530551415798,0.27645305514157975,0.32209388971684055,0
242,791.99,56.12,2.47,2.77,Vegetable,4,High,197.9975,0.04514341590612777,0.9146023468057366,0.0402542372881356,0
243,1550.2,72.86,1.49,40.33,Meat,4,High,387.55,0.3516742239274503,0.6353331008022324,0.012992675270317406,0
244,653.9,111.8,5.04,0.36,Vegetable,6,High,108.98333333333333,0.0030716723549488053,0.9539249146757679,0.043003412969283276,0
245,160.43,11.37,0.6,0.24,Vegetable,6,High,26.738333333333333,0.019656019656019656,0.9312039312039312,0.049140049140049144,0
246,337.48,27.98,2.26,19.05,Vegetable,2,High,168.74,0.3864881314668289,0.5676607831203083,0.04585108541286264,0
247,71.97,16.94,0.95,3.37,Vegetable,2,High,35.985,0.15851364063969897,0.7968015051740357,0.044684854186265284,0
248,542.49,6.93,26.16,29.67,Lunch & Snacks,4,Unknown,135.6225,0.4727533460803059,0.11042065009560229,0.41682600382409174,0
249,208.87,32.34,7.41,6.42,Meat,6,Unknown,34.81166666666667,0.13905133203378817,0.7004548408057181,0.16049382716049382,0
250,288.55,21.48,4.55,10.8,Meat,6,Unknown,48.09166666666667,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
251,768.51,2.32,4.71,11.19,Meat,4,Unknown,192.1275,0.6141602634467618,0.12733260153677278,0.25850713501646544,0
252,129.03,51.57,7.66,6.05,Lunch & Snacks,4,High,32.2575,0.09267769607843136,0.7899816176470588,0.1173406862745098,0
253,44.02,6.95,1.23,2.37,Vegetable,4,High,11.005,0.22464454976303316,0.6587677725118483,0.11658767772511848,0
254,239.36,56.72,18.03,0.13,Beverages,1,Unknown,239.36,0.0017361111111111112,0.7574786324786326,0.24078525641025644,0
255,359.0,1.65,1.11,20.55,Meat,4,High,89.75,0.8815958815958815,0.07078507078507078,0.047619047619047616,0
256,866.33,45.08,7.74,64.46,One Dish Meal,1,Unknown,866.33,0.5496248294679399,0.3843792633015007,0.06599590723055934,1
257,682.73,31.36,5.7,3.58,Vegetable,2,High,341.365,0.08809055118110236,0.7716535433070866,0.14025590551181102,0
258,575.07,69.94,1.18,1.8,Vegetable,1,High,575.07,0.024684585847504114,0.9591332967635765,0.01618211738891936,1
259,125.95,7.85,5.38,0.83,Beverages,2,Unknown,62.975,0.059032716927453766,0.5583214793741109,0.38264580369843526,0
260,674.84,2.64,3.64,1.26,Vegetable,2,High,337.42,0.16710875331564987,0.35013262599469497,0.4827586206896552,0
261,659.82,9.88,5.97,4.83,Breakfast,6,Unknown,109.97000000000001,0.23355899419729206,0.4777562862669246,0.28868471953578334,0
262,137.63,191.21,2.05,5.33,Vegetable,2,High,68.815,0.0268392164761569,0.9628380079560903,0.010322775567752653,0
263,288.55,21.48,4.55,10.8,Meat,4,Unknown,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
264,462.41,3.49,6.71,0.93,Vegetable,6,High,77.06833333333334,0.0835579514824798,0.31356693620844567,0.6028751123090746,0
265,362.89,34.63,1.2,7.48,Meat,2,High,181.445,0.17270838143615794,0.7995843915954745,0.02770722696836758,0
266,626.61,10.72,4.47,5.9,Vegetable,1,High,626.61,0.27975343764817445,0.5082977714556661,0.21194879089615928,1
267,436.03,7.66,22.3,23.03,Meat,4,High,109.0075,0.4346103038309115,0.14455557652387244,0.42083411964521605,0
268,1767.53,9.96,4.16,70.4,Meat,4,High,441.8825,0.8329389493610979,0.11784193090392805,0.04921911973497397,0
269,416.01,1.84,17.99,1.41,Meat,1,High,416.01,0.06638418079096045,0.08662900188323919,0.8469868173258004,0
270,33.36,33.62,19.04,13.24,Breakfast,4,Unknown,8.34,0.20091047040971172,0.5101669195751138,0.28892261001517455,0
271,457.35,12.74,4.83,21.43,Meat,4,High,114.3375,0.5494871794871795,0.32666666666666666,0.12384615384615384,0
272,435.94,58.65,39.46,11.18,Dessert,1,High,435.94,0.10229664196175314,0.5366456217403239,0.361057736297923,0
273,592.12,27.54,2.97,21.88,Lunch & Snacks,4,Unknown,148.03,0.41763695361710246,0.5256728383279251,0.056690208054972324,0
274,285.01,2.2,15.81,0.76,Beverages,4,Unknown,71.2525,0.04049014384656366,0.11720831113478955,0.8423015450186466,0
275,858.67,5.07,7.47,1.84,Lunch & Snacks,1,High,858.67,0.12795549374130738,0.35257301808066766,0.519471488178025,1
276,597.55,19.65,6.19,6.63,Lunch & Snacks,6,High,99.59166666666665,0.20418848167539266,0.605174006775485,0.19063751154912228,0
277,0.76,1.9,3.76,0.05,Vegetable,2,High,0.38,0.008756567425569177,0.3327495621716287,0.658493870402802,0
278,452.39,89.19,3.73,18.72,One Dish Meal,4,Unknown,113.0975,0.16768183446793264,0.7989072017198137,0.03341096381225367,0
279,288.55,21.48,4.55,10.8,Lunch & Snacks,4,High,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
280,400.37,23.75,2.21,8.54,Breakfast,2,Unknown,200.185,0.24753623188405793,0.6884057971014492,0.06405797101449276,0
281,288.55,21.48,4.55,10.8,Meat,1,High,288.55,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
282,409.99,13.61,1.96,8.77,Vegetable,4,High,102.4975,0.36031224322103533,0.5591618734593262,0.08052588331963846,0
283,31.65,5.42,6.69,13.25,Vegetable,6,High,5.2749999999999995,0.5224763406940063,0.2137223974763407,0.263801261829653,0
284,114.74,32.69,10.02,87.46,Meat,6,High,19.12333333333333,0.6718906045939925,0.2511331335945302,0.0769762618114773,0
285,70.81,27.0,11.18,0.21,Beverages,4,Unknown,17.7025,0.005470174524615785,0.7033081531648867,0.2912216723104975,0
286,1435.35,75.43,17.09,0.36,Lunch & Snacks,1,High,1435.35,0.0038759689922480615,0.8121231696813092,0.1840008613264427,1
287,12.97,28.68,11.74,0.61,Beverages,4,Unknown,3.2425,0.014867170363148914,0.6990007311723129,0.28613209846453813,0
288,370.92,6.65,4.55,11.97,Lunch & Snacks,1,Unknown,370.92,0.5166163141993958,0.28700906344410876,0.19637462235649544,0
289,35.63,2.52,19.21,0.18,Beverages,1,Unknown,35.63,0.008215426745778184,0.11501597444089456,0.8767685988133272,0
290,223.01,25.99,7.52,11.69,Meat,4,High,55.7525,0.2586283185840708,0.5750000000000001,0.1663716814159292,0
291,239.9,51.13,131.39,3.38,Dessert,2,High,119.95,0.018181818181818184,0.27504034427111357,0.7067778375470684,0
292,379.16,4.79,0.4,5.27,Meat,4,Unknown,94.79,0.5038240917782026,0.45793499043977054,0.03824091778202677,0
293,1878.82,0.8,7.6,89.01,Meat,1,High,1878.82,0.9137665537419155,0.008212709167436608,0.07802073709064776,1
294,410.92,23.17,1.04,19.34,Meat,6,Unknown,68.48666666666666,0.44408725602755456,0.5320321469575202,0.023880597014925377,0
295,242.1,6.68,0.25,29.82,Meat,4,High,60.525,0.8114285714285714,0.1817687074829932,0.006802721088435374,0
296,158.46,20.62,6.3,4.75,Vegetable,2,High,79.23,0.14998421218819072,0.6510893590148406,0.19892642879696873,0
297,487.86,142.22,5.21,1.09,Vegetable,6,High,81.31,0.007339078911931053,0.9575814705090223,0.035079450579046594,0
298,288.55,21.48,4.55,10.8,Lunch & Snacks,6,Unknown,48.09166666666667,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
299,25.91,0.82,3.3,44.76,Meat,4,Unknown,6.4775,0.9157119476268413,0.016775777414075287,0.06751227495908348,0
300,1277.97,4.15,0.29,7.64,Meat,1,High,1277.97,0.6324503311258278,0.3435430463576159,0.02400662251655629,1
301,84.27,5.07,8.97,0.38,Beverages,1,Unknown,84.27,0.026352288488210817,0.3515950069348127,0.6220527045769764,0
302,293.86,11.43,3.16,0.98,Vegetable,2,High,146.93,0.06294155427103404,0.7341040462427746,0.2029543994861914,0
303,889.25,13.44,1.61,2.58,One Dish Meal,2,Unknown,444.625,0.14634146341463417,0.7623369256948384,0.09132161089052752,0
304,167.09,7.7,30.73,12.87,Dessert,6,Unknown,27.848333333333333,0.25087719298245614,0.1500974658869396,0.5990253411306043,0
305,179.45,15.19,2.23,2.53,Vegetable,1,High,179.45,0.12681704260651627,0.7614035087719299,0.11177944862155388,0
306,649.83,21.64,1.69,0.13,Meat,2,High,324.915,0.005541346973572037,0.9224211423699915,0.07203751065643649,0
307,1706.75,24.59,5.35,39.53,Meat,4,High,426.6875,0.5690225996833166,0.35396574060745645,0.077011659709227,0
308,406.05,128.22,18.58,15.06,Breakfast,2,Unknown,203.025,0.09304337081428395,0.7921660694427282,0.11479055974298774,0
309,73.91,35.05,2.09,14.68,Vegetable,6,High,12.318333333333333,0.2832883056734851,0.6763797761482052,0.04033191817830953,0
310,581.04,38.52,0.1,82.85,Meat,1,High,581.04,0.6820614143409895,0.3171153371202766,0.0008232485387338438,1
311,908.63,42.53,1.21,46.13,Meat,4,High,227.1575,0.5132969845332146,0.47323912317792366,0.013463892288861688,0
312,491.01,33.94,6.08,5.45,Dessert,4,Unknown,122.7525,0.11985924785572906,0.7464262150868705,0.1337145370574005,0
313,1053.21,12.03,16.64,4.92,One Dish Meal,2,High,526.605,0.14647216433462337,0.3581423042572194,0.49538553140815716,1
314,87.17,13.21,0.39,158.81,Meat,4,Unknown,21.7925,0.9211182646018212,0.07661968563308394,0.002262049765094832,0
315,135.76,21.48,7.94,7.3,Meat,4,Unknown,33.94,0.19880174291938998,0.5849673202614379,0.21623093681917213,0
316,132.29,50.28,1.88,22.89,Breakfast,4,Unknown,33.0725,0.30499666888740834,0.6699533644237174,0.02504996668887408,0
317,166.73,15.74,4.34,169.78,Meat,4,High,41.6825,0.8942378594754029,0.08290319182555567,0.022858948699041398,0
318,92.21,8.53,0.24,14.14,Lunch & Snacks,4,High,23.0525,0.6171977302487996,0.3723264949803579,0.010475774770842427,0
319,472.91,8.68,1.91,15.08,Meat,4,High,118.2275,0.5874561745227892,0.3381379041682898,0.07440592130892092,0
320,409.03,71.58,5.73,125.66,Meat,2,High,204.515,0.6191062718628368,0.3526629551165197,0.028230773020643446,0
321,31.75,16.71,1.02,23.14,Breakfast,1,Unknown,31.75,0.5661854661120626,0.40885735258135547,0.02495718130658184,0
322,76.21,91.25,6.12,3.27,Dessert,4,High,19.0525,0.032492050874403815,0.9066971383147854,0.060810810810810814,0
323,257.71,140.96,9.46,8.77,Breakfast,6,High,42.95166666666666,0.05509140021358124,0.8854827564545511,0.059425843331867574,0
324,49.5,66.64,4.69,53.33,Breakfast,4,Unknown,12.375,0.4278036258623456,0.5345740413925879,0.037622332745066586,0
325,771.52,96.03,1.49,7.52,Dessert,4,High,192.88,0.0715917745620716,0.9142231530845393,0.014185072353389186,0
326,718.34,16.61,8.54,4.52,Meat,4,Unknown,179.585,0.15234243343444556,0.559824738793394,0.2878328277721604,0
327,288.55,21.48,4.55,10.8,Vegetable,4,High,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
328,798.39,0.86,0.5,0.4,Vegetable,4,High,199.5975,0.22727272727272732,0.4886363636363637,0.2840909090909091,0
329,561.43,11.83,9.0,189.33,Meat,6,High,93.57166666666666,0.9008850399695469,0.05629044537495241,0.042824514655500565,0
330,552.83,39.55,3.61,48.54,Vegetable,4,High,138.2075,0.5293347873500546,0.4312977099236641,0.03936750272628135,0
331,684.88,41.08,2.0,1.48,Beverages,2,Unknown,342.44,0.03321364452423699,0.921903052064632,0.044883303411131066,0
332,970.22,177.22,1.8,6.44,Lunch & Snacks,2,High,485.11,0.034724468888169956,0.955569934217621,0.009705596894208994,0
333,20.81,33.92,5.44,18.54,Lunch & Snacks,4,High,5.2025,0.32020725388601035,0.5858376511226253,0.09395509499136442,0
334,561.44,43.26,0.14,96.27,Meat,6,Unknown,93.57333333333334,0.6892675592467961,0.30973007804109687,0.0010023627121071097,0
335,532.01,31.76,1.44,17.96,Lunch & Snacks,4,High,133.0025,0.35105551211884284,0.6207974980453479,0.02814698983580922,0
336,152.42,12.11,0.38,5.56,One Dish Meal,2,Unknown,76.21,0.3080332409972299,0.6709141274238226,0.021052631578947368,0
337,857.34,67.38,4.97,2.8,Dessert,4,Unknown,214.335,0.037258815701929474,0.8966067864271458,0.06613439787092482,0
338,138.11,3.7,5.24,63.56,Meat,4,High,34.5275,0.8766896551724138,0.05103448275862069,0.07227586206896552,0
339,482.51,26.21,5.29,18.93,Vegetable,4,High,120.6275,0.37537180249851276,0.519730319254412,0.10489787824707515,0
340,288.55,142.28,50.17,0.47,Dessert,4,Unknown,72.1375,0.0024362430022807384,0.7375077752436243,0.260055981754095,0
341,1251.42,12.28,0.17,0.59,Lunch & Snacks,4,High,312.855,0.04524539877300614,0.941717791411043,0.013036809815950921,0
342,23.64,102.52,14.22,61.22,One Dish Meal,4,High,5.91,0.34400988986289055,0.576084513373792,0.07990559676331761,0
343,111.1,37.55,6.6,239.57,Lunch & Snacks,2,Unknown,55.55,0.8443888340617511,0.13234879458621177,0.02326237135203722,0
344,958.28,50.02,0.98,9.27,Breakfast,6,High,159.71333333333334,0.15380786460925833,0.8299319727891158,0.016260162601626018,0
345,134.48,45.5,37.08,0.2,Meat,4,Unknown,33.62,0.0024160425223483935,0.5496496738342594,0.4479342836433921,0
346,187.46,47.62,16.3,78.81,Meat,1,High,187.46,0.5521614236670637,0.3336369368738176,0.11420163945911861,0
347,110.69,58.8,45.33,1.23,Dessert,6,High,18.448333333333334,0.011674259681093395,0.5580865603644647,0.4302391799544419,0
348,416.12,3.43,1.05,10.12,Meat,6,High,69.35333333333334,0.6931506849315068,0.23493150684931507,0.07191780821917809,0
349,1199.2,40.96,1.55,29.53,Meat,6,High,199.86666666666667,0.40991116046640763,0.5685730149916713,0.021515824541921157,0
350,94.27,383.06,5.98,39.61,Vegetable,1,High,94.27,0.09240639216143706,0.8936428321474396,0.013950775691123294,0
351,45.62,15.34,3.27,2.16,Breakfast,6,High,7.603333333333333,0.10399614829080406,0.7385652383245065,0.15743861338468945,0
352,288.55,21.48,4.55,10.8,Vegetable,4,High,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
353,781.15,3.91,0.39,21.41,Meat,4,High,195.2875,0.8327499027615713,0.15208090237261765,0.015169194865810968,0
354,1045.21,5.12,1.79,70.69,Meat,4,Unknown,261.3025,0.9109536082474227,0.06597938144329897,0.023067010309278352,0
355,288.55,21.48,4.55,10.8,Meat,4,High,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
356,1337.71,3.84,8.48,0.95,Vegetable,6,High,222.95166666666668,0.07159005275056518,0.28937452901281085,0.639035418236624,0
357,2282.6,4.5,4.16,31.19,One Dish Meal,4,High,570.65,0.782685069008783,0.11292346298619824,0.10439146800501882,1
358,259.36,20.05,3.45,91.16,Meat,4,High,64.84,0.7950462236176522,0.17486481772196058,0.030088958660387233,0
359,231.2,15.18,6.96,70.75,Meat,1,High,231.2,0.761653568737216,0.16341909785768113,0.07492733340510281,0
360,136.46,31.09,2.4,6.77,Vegetable,2,High,68.23,0.16815697963238943,0.7722305017386983,0.059612518628912065,0
361,850.16,2.56,1.52,9.31,Lunch & Snacks,6,High,141.69333333333333,0.6952949962658701,0.19118745332337564,0.11351755041075429,0
362,1007.85,3.43,5.78,59.23,Meat,4,High,251.9625,0.8654295733489188,0.050116890707188784,0.08445353594389246,0
363,521.78,76.37,12.63,8.62,Vegetable,6,High,86.96333333333332,0.0883015775455849,0.782319196885884,0.12937922556853104,0
364,11.6,39.04,13.91,4.06,Dessert,4,Unknown,2.9,0.07121557621469916,0.6847921417295211,0.24399228205577966,0
365,268.04,77.7,2.43,0.88,Beverages,2,Unknown,134.02,0.010862856437476854,0.9591408468090359,0.029996296753487223,0
366,516.76,13.59,2.96,50.19,Meat,4,Unknown,129.19,0.7520227749475578,0.2036260113874738,0.04435121366496854,0
367,34.97,16.88,4.54,14.04,Vegetable,4,High,8.7425,0.39593908629441626,0.4760293288212071,0.1280315848843768,0
368,123.02,202.66,16.0,8.14,Dessert,6,High,20.503333333333334,0.03589065255731923,0.8935626102292769,0.07054673721340388,0
369,578.4,9.43,4.4,8.36,Meat,1,High,578.4,0.37674628210905814,0.4249662009914376,0.19828751689950433,1
370,199.54,9.1,8.17,10.1,Meat,6,High,33.25666666666667,0.3690171720862258,0.33248081841432225,0.298502009499452,0
371,1205.68,2.78,1.24,109.92,Meat,6,Unknown,200.9466666666667,0.9647182727751449,0.024398806389327714,0.010882920835527471,0
372,259.95,18.93,5.08,0.33,Vegetable,6,High,43.324999999999996,0.013557929334428927,0.7777321281840592,0.20870994248151195,0
373,288.55,21.48,4.55,10.8,Vegetable,2,High,144.275,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
374,877.29,16.62,37.05,21.09,Meat,4,High,219.3225,0.2821027287319422,0.22231139646869985,0.4955858747993579,0
375,298.69,1.18,11.47,0.03,Beverages,6,Unknown,49.781666666666666,0.002365930599369085,0.09305993690851734,0.9045741324921136,0
376,265.71,11.68,11.7,0.79,Vegetable,2,High,132.855,0.03268514687629293,0.4832436905254448,0.48407116259826233,0
377,288.55,21.48,4.55,10.8,Meat,6,High,48.09166666666667,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
378,182.21,11.66,0.91,73.94,Meat,4,High,45.5525,0.854698878742342,0.13478210611490002,0.010519015142758064,0
379,235.91,43.2,41.24,4.27,Dessert,1,High,235.91,0.048134370420471195,0.48698004734528244,0.4648855822342465,0
380,75.89,22.51,8.18,17.64,Meat,6,High,12.648333333333333,0.3649906890130354,0.46575625905234846,0.16925305193461618,0
381,434.29,64.57,2.91,7.16,Vegetable,2,High,217.145,0.09592711682743839,0.8650857449088961,0.0389871382636656,0
382,1362.81,26.21,1.94,125.43,Meat,4,Unknown,340.7025,0.8167079046750879,0.17066024221903892,0.01263185310587316,0
383,275.96,29.94,13.22,7.49,Meat,1,High,275.96,0.14787759131293188,0.5911154985192497,0.26100691016781835,0
384,708.64,45.44,4.55,221.91,Meat,6,High,118.10666666666667,0.8161456417800662,0.1671202648032365,0.016734093416697318,0
385,338.74,70.14,0.58,13.36,Meat,4,Unknown,84.685,0.1588962892483349,0.8342055185537584,0.006898192197906755,0
386,75.17,6.45,8.59,0.73,Beverages,2,High,37.585,0.046290424857324035,0.4090044388078631,0.544705136334813,0
387,90.01,60.18,15.52,17.64,Breakfast,4,Unknown,22.5025,0.18898650096421685,0.6447396614527533,0.16627383758302977,0
388,2.14,20.11,0.16,1.42,Beverages,4,Unknown,0.535,0.06546795758414016,0.9271553711387737,0.0073766712770862155,0
389,288.55,21.48,4.55,10.8,Lunch & Snacks,4,High,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
390,255.58,47.45,1.58,4.92,Vegetable,4,High,63.895,0.09119555143651528,0.8795180722891567,0.02928637627432808,0
391,259.83,89.3,1.61,6.0,Breakfast,4,Unknown,64.9575,0.06191311526158291,0.9214735321432257,0.016613352595191415,0
392,110.07,4.07,9.1,8.88,Vegetable,6,High,18.345,0.4027210884353742,0.18458049886621317,0.4126984126984127,0
393,460.49,18.84,16.96,52.0,Meat,4,Unknown,115.1225,0.5922551252847381,0.21457858769931665,0.19316628701594535,0
394,46.66,4.7,13.11,35.28,Meat,1,Unknown,46.66,0.6645319269165567,0.08852891316632133,0.24693915991712184,0
395,50.94,37.18,0.5,10.84,Breakfast,1,Unknown,50.94,0.22341302555647158,0.7662819455894477,0.010305028854080793,0
396,90.95,15.03,5.32,19.29,Breakfast,1,High,90.95,0.48662966700302723,0.3791624621594349,0.13420787083753785,0
397,64.36,11.28,12.47,20.87,Vegetable,4,High,16.09,0.46772747646795154,0.2528014343343792,0.2794710891976692,0
398,2051.34,2.46,2.12,69.62,Meat,2,High,1025.67,0.9382749326145553,0.03315363881401617,0.02857142857142857,1
399,128.3,14.75,3.01,16.34,Meat,4,High,32.075,0.4791788856304986,0.4325513196480939,0.08826979472140763,0
400,71.87,31.44,1.34,32.45,Meat,2,Unknown,35.935,0.4974704890387858,0.4819868158822628,0.020542695078951404,0
401,338.71,59.94,12.26,30.72,Breakfast,4,Unknown,84.6775,0.2984842596191216,0.5823940924990283,0.11912164788184998,0
402,633.87,16.11,2.47,7.25,Lunch & Snacks,6,Unknown,105.645,0.2806813782423539,0.6236933797909407,0.0956252419667054,0
403,291.64,2.12,42.8,11.05,Breakfast,6,Unknown,48.60666666666666,0.19742719313918172,0.037877434339824906,0.7646953725209934,0
404,126.96,19.11,18.17,0.18,Beverages,4,Unknown,31.74,0.0048051254671649755,0.5101441537640149,0.4850507207688201,0
405,141.15,68.04,1.48,6.95,Meat,4,High,35.2875,0.09088531450241924,0.8897606904668497,0.019353995030731003,0
406,288.55,21.48,4.55,10.8,Vegetable,4,High,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
407,169.83,42.42,1.98,31.1,Meat,4,High,42.4575,0.41192052980132454,0.5618543046357616,0.026225165562913908,0
408,262.09,2.8,8.68,0.08,Beverages,6,Unknown,43.681666666666665,0.006920415224913495,0.24221453287197228,0.7508650519031141,0
409,1073.39,8.32,16.11,8.15,Lunch & Snacks,4,Unknown,268.3475,0.2501534683855126,0.25537139349294047,0.494475138121547,0
410,108.62,13.68,6.72,0.23,Beverages,2,Unknown,54.31,0.011148812409112944,0.6631119728550655,0.3257392147358216,0
411,378.65,38.0,5.39,24.04,Meat,6,Unknown,63.10833333333333,0.356517870384102,0.5635473824707103,0.07993474714518758,0
412,617.5,14.68,9.88,3.12,Dessert,6,High,102.91666666666667,0.11271676300578033,0.5303468208092484,0.3569364161849711,0
413,237.97,3.35,1.21,5.4,Vegetable,6,High,39.66166666666667,0.5421686746987951,0.3363453815261044,0.12148594377510039,0
414,150.83,118.2,0.75,6.27,Vegetable,4,High,37.7075,0.05007187350263536,0.9439386679444178,0.005989458552946814,0
415,602.74,28.03,2.92,5.8,Breakfast,1,Unknown,602.74,0.15782312925170067,0.7627210884353742,0.07945578231292517,1
416,468.76,35.6,1.99,20.66,Meat,4,High,117.19,0.35467811158798285,0.6111587982832618,0.03416309012875537,0
417,652.18,53.19,28.18,2.6,Breakfast,6,Unknown,108.69666666666666,0.030963439323567942,0.6334405144694534,0.3355960462069787,0
418,715.66,8.98,1.97,0.93,Vegetable,4,High,178.915,0.07828282828282829,0.7558922558922558,0.16582491582491582,0
419,1830.28,3.92,1.83,44.74,Meat,1,High,1830.28,0.8861160625866509,0.07763913646266588,0.036244800950683304,1
420,536.42,8.87,2.08,38.47,Meat,4,High,134.105,0.7784297855119384,0.17948199109672194,0.04208822339133954,0
421,94.04,5.17,0.68,0.01,Beverages,2,Unknown,47.02,0.0017064846416382255,0.8822525597269625,0.11604095563139934,0
422,332.19,25.86,1.04,20.25,Meat,4,High,83.0475,0.42948038176033937,0.5484623541887593,0.02205726405090138,0
423,240.52,19.5,5.64,2.44,Meat,4,High,60.13,0.08846990572878898,0.7070340826686003,0.20449601160261055,0
424,199.34,22.88,32.7,0.15,Beverages,2,Unknown,99.67,0.002691548537591961,0.4105508702673605,0.5867575811950476,0
425,76.28,119.63,0.41,17.79,Lunch & Snacks,4,High,19.07,0.1290720452731626,0.8679532757745049,0.0029746789523325836,0
426,1263.15,5.14,16.54,100.46,Meat,2,High,631.575,0.8224987719010971,0.04208285573931554,0.13541837235958737,1
427,187.41,19.12,86.97,4.49,Dessert,6,Unknown,31.235,0.04060408753843372,0.17290649303671551,0.7864894194248508,0
428,288.55,21.48,4.55,10.8,Vegetable,4,High,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
429,1646.83,101.11,2.77,14.87,Meat,1,High,1646.83,0.12522105263157893,0.8514526315789473,0.023326315789473685,1
430,158.84,19.75,12.66,10.07,Breakfast,4,Unknown,39.71,0.23705273069679852,0.46492467043314506,0.2980225988700565,0
431,11.73,17.57,6.07,0.91,Beverages,4,Unknown,2.9325,0.03706720977596741,0.7156822810590632,0.24725050916496946,0
432,402.0,47.57,0.36,0.02,Beverages,6,Unknown,67.0,0.0004171011470281543,0.992075078206465,0.007507820646506777,0
433,999.98,36.65,5.66,16.72,Meat,4,High,249.995,0.2832458072166695,0.6208707436896493,0.09588344909368118,0
434,48.93,65.68,1.62,9.55,Meat,4,High,12.2325,0.12426805465191931,0.8546519193233572,0.021080026024723485,0
435,310.52,12.54,3.21,1.6,Meat,6,Unknown,51.75333333333333,0.09221902017291066,0.7227665706051872,0.185014409221902,0
436,305.09,21.98,30.6,11.79,Lunch & Snacks,4,High,76.2725,0.18315985707627774,0.3414634146341463,0.4753767282895759,0
437,726.23,42.72,1.62,19.19,One Dish Meal,6,High,121.03833333333334,0.3020620179442783,0.6724382181646466,0.025499763891075083,0
438,1503.92,13.49,4.79,1.9,Meat,6,Unknown,250.65333333333334,0.09415262636273537,0.6684836471754212,0.23736372646184342,0
439,151.88,7.41,6.09,40.24,One Dish Meal,4,High,37.97,0.7487904726460737,0.13788611834759956,0.11332340900632676,0
440,114.08,15.13,1.81,38.6,Meat,1,High,114.08,0.6949945984875765,0.27241627655743605,0.03258912495498739,0
441,295.62,22.47,29.72,7.76,Dessert,6,High,49.27,0.12944120100083403,0.3748123436196831,0.4957464553794829,0
442,538.88,6.84,6.95,43.91,One Dish Meal,2,Unknown,269.44,0.7610051993067591,0.11854419410745234,0.12045060658578857,0
